"subj","date","run","ASCor","ASErrCor","ASErr","Dropped","total","AScor.lat","ASErrCor.lat","ASErr.lat"
10129,20180829,1,26,1,1,20,48,275.384615384615,159,128
10173,20180718,1,19,6,0,23,48,245.368421052632,113.166666666667,NA
10173,20200129,1,35,10,0,3,48,196.914285714286,129.1,NA
10173,20210809,1,34,12,0,2,48,193.441176470588,136.916666666667,NA
10202,20190912,1,33,6,2,7,48,179.484848484848,124.5,101
10202,20210624,1,35,12,0,1,48,173.628571428571,137.166666666667,NA
10644,20180206,1,35,0,1,12,48,266.8,NA,376
10644,20190926,1,41,6,0,1,48,252.780487804878,155.666666666667,NA
10997,20180731,1,32,11,0,5,48,292.1875,168.090909090909,NA
10997,20200221,1,34,4,0,10,48,250.264705882353,200.75,NA
11299,20180213,1,28,9,1,10,48,259.571428571429,170.111111111111,188
11323,20180219,1,21,27,0,0,48,235,140.185185185185,NA
11323,20210701,1,15,27,0,6,48,213.333333333333,129.148148148148,NA
11451,20180205,1,35,12,0,1,48,188.628571428571,156.75,NA
10195,20180124,1,45,3,0,0,48,220.533333333333,136.333333333333,NA
10195,20191008,1,34,4,1,9,48,259.823529411765,176,186
11653,20180519,1,8,21,1,18,48,385.5,177.571428571429,262
11748,20190128,1,42,6,0,0,48,266.738095238095,173.166666666667,NA
11543,20180709,1,36,4,0,8,48,288.416666666667,196,NA
11561,20190611,1,27,8,1,12,48,296.296296296296,147.25,174
11561,20210526,1,34,12,0,2,48,268.088235294118,159.166666666667,NA
11665,20180619,1,46,0,0,2,48,422.086956521739,NA,NA
11565,20190709,1,20,8,1,19,48,248.5,192.5,390
11537,20180413,1,20,4,0,24,48,315.05,175.75,NA
11575,20190424,1,39,9,0,0,48,352.282051282051,214.888888888889,NA
11575,20210416,1,44,2,0,2,48,307.795454545455,126,NA
11599,20190612,1,26,13,1,8,48,193.730769230769,155.461538461538,162
11641,20180426,1,22,24,0,2,48,363.727272727273,146.333333333333,NA
11641,20191022,1,19,24,0,5,48,315.947368421053,166.5,NA
11641,20210918,1,32,9,1,6,48,280.78125,162.444444444444,130
11651,20181106,1,24,3,0,21,48,328.291666666667,279,NA
11627,20180227,1,40,6,0,2,48,343.625,164.166666666667,NA
11626,20180222,1,34,13,0,1,48,294.470588235294,180.384615384615,NA
11630,20180313,1,39,6,0,3,48,245.666666666667,195.166666666667,NA
11630,20191119,1,21,4,1,22,48,404.380952380952,179.5,83
11630,20210712,1,20,10,0,18,48,255.5,163.3,NA
11631,20180322,1,22,16,2,8,48,332.454545454545,211.1875,240
11629,20180312,1,38,10,0,0,48,307,220.9,NA
11629,20190926,1,24,8,2,14,48,280.458333333333,168,253.5
11634,20180329,1,18,28,0,2,48,267.5,168.571428571429,NA
11633,20180328,1,25,11,3,9,48,310.04,201.181818181818,340
11632,20180328,1,38,8,0,2,48,290.736842105263,186.25,NA
11632,20190924,1,33,9,0,6,48,299.969696969697,159.444444444444,NA
11638,20180410,1,38,5,0,5,48,273.157894736842,234.6,NA
11640,20180416,1,23,6,0,19,48,226,150.333333333333,NA
11645,20180504,1,26,12,3,7,48,329.307692307692,160.333333333333,190.333333333333
11645,20191127,1,21,7,1,19,48,305.095238095238,164.571428571429,452
11645,20210706,1,34,10,2,2,48,273.264705882353,135.4,121
11649,20180509,1,32,10,0,6,48,303.09375,187.8,NA
11650,20180509,1,2,44,0,2,48,392.5,171.340909090909,NA
11647,20180507,1,37,9,0,2,48,259.540540540541,153.555555555556,NA
11657,20180601,1,38,7,0,3,48,229.842105263158,154.285714285714,NA
11657,20220104,1,42,5,0,1,48,229.357142857143,198.4,NA
11655,20180531,1,40,6,0,2,48,309.55,187.833333333333,NA
11656,20180531,1,32,12,0,4,48,269.125,152.416666666667,NA
11648,20180530,1,35,7,1,5,48,222.8,165.142857142857,333
11648,20200111,1,29,5,1,13,48,285.896551724138,157,164
11658,20180604,1,30,12,0,6,48,262.666666666667,168.25,NA
11662,20180612,1,31,7,0,10,48,196.967741935484,145.857142857143,NA
11664,20180620,1,45,2,0,1,48,276.577777777778,128.5,NA
11667,20180622,1,20,6,4,18,48,339.95,179,156
11661,20180611,1,12,27,0,9,48,382.5,154.185185185185,NA
11670,20180710,1,16,30,1,1,48,282.5625,174.933333333333,202
11670,20200113,1,25,21,0,2,48,323.52,182.571428571429,NA
11670,20210824,1,14,25,2,7,48,264.428571428571,148.36,307
11669,20180705,1,34,11,0,3,48,294.794117647059,188.636363636364,NA
11674,20180718,1,33,10,0,5,48,303.666666666667,166.1,NA
11674,20200114,1,30,12,0,6,48,306.066666666667,147.083333333333,NA
11674,20210702,1,31,6,2,9,48,226.032258064516,134.833333333333,190.5
11678,20180725,1,19,24,1,4,48,305.789473684211,211.833333333333,144
11672,20180717,1,9,30,2,7,48,378.444444444444,171.733333333333,270.5
11672,20220615,1,11,31,4,2,48,426.454545454545,175.774193548387,389
11673,20180717,1,9,27,2,10,48,367.111111111111,166.259259259259,253
11673,20200115,1,14,33,0,1,48,357.857142857143,200.848484848485,NA
11673,20210730,1,19,21,4,4,48,329.684210526316,155.333333333333,144.25
11676,20180720,1,21,13,1,13,48,364.857142857143,184.076923076923,415
11675,20180719,1,38,10,0,0,48,244.657894736842,150.2,NA
11675,20200131,1,15,28,0,5,48,259.533333333333,173.071428571429,NA
11680,20180802,1,24,20,1,3,48,332.333333333333,189.35,267
11680,20220125,1,16,26,0,6,48,326.8125,193.192307692308,NA
11681,20180808,1,33,11,0,4,48,354.818181818182,208.909090909091,NA
11681,20200730,1,37,9,1,1,48,295.162162162162,222.555555555556,171
11682,20180809,1,19,7,3,19,48,319.315789473684,182.571428571429,463.333333333333
11682,20200310,1,24,15,0,9,48,297.708333333333,167.933333333333,NA
11682,20210810,1,28,12,0,8,48,284.428571428571,148.75,NA
11686,20180822,1,21,8,2,17,48,333.380952380952,204.75,320
11686,20220118,1,25,2,0,21,48,335.2,462,NA
11683,20180809,1,19,2,0,27,48,391.789473684211,137,NA
11683,20200228,1,37,4,0,7,48,324.702702702703,205,NA
11683,20211027,1,22,1,0,25,48,325.590909090909,169,NA
11685,20180814,1,8,21,7,12,48,466.625,203.428571428571,188
11685,20220809,1,8,14,2,24,48,352.875,183.571428571429,206.5
11689,20180904,1,22,2,1,23,48,381.272727272727,155,392
11689,20210527,1,47,0,0,1,48,381.574468085106,NA,NA
11693,20180913,1,38,6,0,4,48,280.657894736842,252.166666666667,NA
11693,20200727,1,40,6,2,0,48,264.8,247.833333333333,214.5
11693,20211004,1,37,8,0,3,48,246.054054054054,153,NA
11688,20180827,1,9,32,3,4,48,354.111111111111,159.4375,176.666666666667
11688,20200817,1,3,40,3,2,48,453.333333333333,155.15,426.333333333333
11688,20220221,1,5,38,1,4,48,410.2,136.552631578947,169
11695,20180914,1,24,21,0,3,48,296.958333333333,168.190476190476,NA
11695,20200904,1,34,10,1,3,48,277.588235294118,179,442
11698,20180921,1,32,10,0,6,48,303.65625,186.3,NA
11690,20180905,1,13,13,4,18,48,248.230769230769,154.538461538462,183
11692,20180912,1,11,29,0,8,48,281.363636363636,184,NA
11692,20200914,1,18,26,0,4,48,293.555555555556,175.346153846154,NA
11697,20180920,1,22,18,3,5,48,321.772727272727,221,256.333333333333
11704,20181005,1,28,13,1,6,48,301.964285714286,164.307692307692,154
11704,20210921,1,26,15,0,7,48,260.5,161.266666666667,NA
11701,20180928,1,43,2,0,3,48,244.558139534884,179,NA
11694,20180914,1,39,6,1,2,48,407.307692307692,133.333333333333,292
