name	matter	label	aparc_vals	wmpar_vals
abnormal	gm	AGM	25 57 81 82 101 102 103 104 105 106 107 110 111 112 113 114 115 116	
frontal	gm	FGM	1003 1012 1014 1017 1018 1019 1020 1024 1027 1028 1032 2003 2012 2014 2017 2018 2019 2020 2024 2027 2028 2032	
insula	gm	IGM	19 20 55 56 1034 1035 2034 2035	
occipital	gm	OGM	1011 1021 2011 2021	
parietal	gm	PGM	1005 1008 1022 1025 1029 1031 2005 2008 2022 2025 2029 2031	
subcortical	gm	SCGM	26 58 1007 2007	
temporal_lateral	gm	TLGM	1001 2001 1009 1013 1015 1030 1033 2009 2013 2015 2030 2033	
temporal_medial	gm	TMGM	17 18 53 54 1006 1016 2006 2016	
CAcing	gm	CACGM	1002 2002	
RAcing	gm	RACGM	1026 2026	
PIcing	gm	PICGM	1010 1023 2010 2023	
abnormal	wm	AWM	77 78 79 80 100 109	
frontal	wm	FWM	252 253 254 255 1004 2004	3003 3004 3012 3014 3017 3018 3019 3020 3024 3027 3028 3032 4003 4004 4012 4014 4017 4018 4019 4020 4024 4027 4028 4032
insula	wm	IWM		3034 3035 4034 4035
occipital	wm	OWM		3011 3021 4011 4021
parietal	wm	PWM	251	3005 3008 3022 3025 3029 3031 4005 4008 4022 4025 4029 4031
subcortical	wm	SCWM		5001 5002
temporal_lateral	wm	TLWM		3001 4001 3007 3009 3013 3015 3030 3033 4007 4009 4013 4015 4030 4033
temporal_medial	wm	TMWM		3006 3016 4006 4016
CAcing	wm	CACWM		3002 4002
RAcing	wm	RACWM		3026 4026
PIcing	wm	PICWM		3010 3023 4010 4023
	wm	THAwm		
	wm	BGAwm		
