V1 all_csi.nii.gz all_probs.nii.gz mrid MRSI regout scout_resize.nii sheet
10129_20180917 1 1 20180917Luna2_10129 1 0 1 1
10173_20180802 1 1 20180802Luna2 1 0 1 1
10195_20180129 1 0 20180129Luna 1 0 1 1
10644_20180216 1 1 20180216Luna2 1 1 1 1
10997_20180818 1 1 20180818Luna1 1 0 1 1
11299_20180511 1 1 20180511Luna 1 1 1 1
11323_20180316 1 1 20180316Luna1 1 1 1 1
11390_20180628 1 1 20180628Luna1 1 1 1 1
11451_20180216 1 1 20180216Luna1 1 1 1 1
11543_20180804 1 1 20180804Luna1 1 0 1 1
11626_20180312 1 1 20180312Luna1 1 1 1 1
11627_20180323 1 1 20180323Luna2 1 1 1 1
11629_20180323 1 1 20180323Luna1-11629 1 1 1 1
11630_20180524 1 1 20180524Luna 1 0 1 1
11631_20180517 1 1 20180517Luna2 1 1 1 1
11632_20180416 1 1 20180416Luna1 1 1 1 1
11633_20180426 1 1 20180426Luna1 1 1 1 1
11634_20180409 1 1 20180409Luna1 1 1 1 1
11638_20180419 1 1 20180419Luna1 1 1 1 1
11640_20180514 1 1 20180514Luna2 1 1 1 1
11641_20180510 1 1 20180510Luna 1 1 1 1
11647_20180514 1 1 20180514Luna1 1 1 1 1
11648_20180604 1 1 20180604Luna11648 1 0 1 1
11649_20180521 1 1 20180521Luna1_11649 1 0 1 1
11650_20180521 1 1 20180521Luna2 1 0 1 1
11651_20190222 1 1 20190222Luna2 1 0 1 1
11653_20180608 1 1 20180608Luna1 1 0 1 1
11655_20180702 1 1 20180702Luna1 1 0 1 1
11656_20180607 1 1 20180607Luna1 1 0 1 1
11657_20180817 1 1 20180817Luna1 1 0 1 1
11658_20180608 1 1 20180608Luna2 1 1 1 1
11661_20180720 0 0 20180720Luna1a 0 0 0 0
11662_20180614 1 1 20180614Luna2 1 1 1 1
11664_20180712 1 1 20180712Luna1 1 0 1 1
11665_20180628 1 1 20180628Luna1 1 1 1 1
11667_20180629 1 1 20180629Luna1 1 1 1 1
11668_20180702 0 0 20180702Luna2 0 0 0 1
11668_20180723 0 0 20180723Luna1 0 0 0 0
11669_20180712 1 1 20180712Luna2 1 1 1 1
11670_20180713 1 1 20180713Luna1 1 0 1 1
11672_20180816 1 1 20180816Luna1 1 0 1 1
11673_20180730 1 1 20180730Luna1 1 0 1 1
11674_20180802 1 1 20180802Luna1 1 0 1 1
11676_20180803 1 1 20180803Luna1 1 0 1 1
11678_20180913 1 1 20180913Luna1 1 0 1 1
11680_20180816 1 1 20180816Luna2 1 0 1 1
11681_20180921 1 1 20180921Luna1 1 1 1 1
11682_20180907 1 1 20180907Luna1 1 0 1 1
11683_20180906 1 1 20180906Luna1A 1 0 1 1
11685_20180907 1 1 20180907Luna2 1 1 1 1
11686_20180917 1 1 20180917Luna1 1 0 1 1
11688_20181215 1 1 20181215Luna1 1 1 1 1
11689_20181029 1 1 20181029Luna1 1 1 1 1
11690_20180920 1 1 20180920Luna1A 1 1 1 1
11692_20181019 1 1 20181019Luna2 1 0 1 1
11693_20181001 1 1 20181001Luna2 1 1 1 1
11694_20181029 1 1 20181029Luna2 1 1 1 1
11695_20181005 1 1 20181005Luna1 1 0 1 1
11697_20181105 1 1 20181105Luna1 1 1 1 1
11698_20181116 1 1 20181116Luna1 1 1 1 1
11701_20181015 1 1 20181015Luna1 1 1 1 1
11702_20181109 1 1 20181109Luna1 1 1 1 1
11703_20181019 1 1 20181019Luna1 1 0 1 1
11704_20181103 1 1 20181103Luna1 1 1 1 1
11706_20190322 1 1 20190322Luna2 1 1 1 1
11708_20181112 1 1 20181112Luna1 1 1 1 1
11709_20181129 1 1 20181129Luna1 1 1 1 1
11710_20181116 1 1 20181116Luna2 1 1 1 1
11711_20181119 1 1 20181119Luna2 1 1 1 1
11713_20181203 1 1 20181203Luna1 1 1 1 1
11715_20190125 1 1 20190125Luna1 1 0 1 1
11716_20181129 1 1 20181129Luna2 1 1 1 1
11718_20190112 1 1 20190112Luna1 1 0 1 1
11722_20181210 1 1 20181210Luna1 1 0 1 1
11723_20181217 1 1 20181217Luna1 1 1 1 1
11724_20190104 1 1 20190104Luna1 1 0 1 1
11725_20181214 1 1 20181214Luna1 1 1 1 1
11726_20190111 1 1 20190111Luna1 1 1 1 1
11727_20181214 1 1 20181214Luna2 1 1 1 1
11728_20190114 0 0 20190114Luna1 0 0 0 1
11729_20190125 1 1 20190125Luna2 1 0 1 1
11731_20190201 1 1 20190201Luna2 1 0 1 1
11732_20190204 1 1 20190204Luna1 1 0 1 1
11733_20190104 1 1 20190104Luna2 1 0 1 1
11734_20190128 1 1 20190128Luna1 1 0 1 1
11750_20190315 1 1 20190315Luna2 1 0 1 1
11751_20190228 1 1 20190228Luna1 1 0 1 1
11752_20190315 1 1 20190315Luna1 1 0 1 1
11760_20190311 1 1 20190311Luna1 1 0 1 1
