ld8,H_all1,H_all2,H_all3,H_all4,H_all5,H_all6,H_all7,H_all8,H_all9,H_all10,H_all11,H_all12,H_all13
10129_20180917,1.25667346594909,1.15771397471995,0.951060405376394,1.15296209692444,1.43559803839605,1.32718727748665,1.21463805718659,1.20563349352009,1.14586357562947,1.3101404779921,1.29310329896576,1.13696875250331,1.26813432820218
10173_20180802,1.39389725895921,1.38461636659268,1.28804956824433,1.44549561752934,1.45891790666378,1.3784183153941,1.42994711161626,1.39316624093799,1.46289982431112,1.42075691372666,1.27240375569614,1.31724128098227,1.31702854338341
10173_20200221,1.19202191712483,1.56185663448909,1.40776287493082,1.6187674063955,1.60845750714343,1.42875275893497,1.25909125037321,1.36270125292817,1.43031452166634,1.49467756731094,1.46237196245085,1.44230898341172,1.43872730116903
10173_20210830,1.45424190024728,1.22625511942949,1.4638329498014,1.37641079845781,1.58918413887008,1.45139253043221,1.38719244761593,1.26533195453807,1.51986288894414,1.48353008736586,1.34249889368208,1.24166278118991,1.42641183360215
10195_20180129,1.08574615389316,1.18113418918188,1.07464864715275,1.1694445267238,1.11280489100711,1.02018405303778,1.29309657059353,1.13695755273543,1.21833641764229,1.11083421987878,1.42864231154789,1.39678936914704,0.990180370280294
10195_20191205,1.15665240839339,1.34101764062526,1.25786733112304,1.10872099345885,1.26453659694696,1.28506929611252,1.24040774976982,1.20154477373669,1.21322545898022,1.28522480956522,1.20322706554466,1.01952250371158,1.1778037644955
10202_20200103,1.46591245517028,1.50539459368343,1.32161034894976,1.53262307845157,1.56699976949945,1.39329391262182,1.35569875039819,1.250394796808,1.42643494894249,1.27107753992111,1.25060875894368,1.49791631088436,1.23899933331118
10202_20210924,1.52801149038841,1.51548840015533,1.45883091768625,1.5137211995062,1.49074916830925,1.39325598319158,1.59262433856095,1.45018494920354,1.45077831642294,1.55819263130303,1.47047793513429,1.53450017721998,1.65033929618751
10644_20180216,1.50649292686324,1.46126351480048,1.62296487405393,1.29600914231123,1.51306495744518,1.51842032009056,1.53805716618436,1.36268785302988,1.45059729836268,1.4390456512987,1.53580950162338,1.3556801638612,1.52435759690087
10644_20191011,1.53569905450654,1.43379446176803,1.43113943186414,1.62723412401733,1.60461686873442,1.55672808907617,1.53353593809732,1.20688466795299,1.39489325151689,1.3617736340227,1.39720115413632,1.43464693588598,1.54110566546367
10997_20180818,1.31812427766503,1.27281623515732,1.42738301654899,1.47289826514465,1.1460885853395,1.36737181276454,1.37997878740709,1.49731719372869,1.50589685142062,1.40033063059969,1.51438925213203,1.46175755629585,1.42041109798091
10997_20200228,1.50141456823677,1.20042639485593,1.62604583050388,1.45270177279686,1.0379966883477,1.29790599062092,1.45709484118781,1.34104541924177,1.41725258128591,1.4330444980513,1.25690551224043,1.48523866389388,1.32032218248128
11299_20180511,1.38135325307607,1.20623636975927,1.14934528848256,1.32771265095701,1.40401217487701,1.46458989365423,1.53992526824593,1.45960581018999,1.20455139194357,1.24823717669248,1.27560328470256,1.18180240760992,1.07183178196321
11323_20180316,1.27808126389579,1.14352090590132,1.17186837285185,1.13299531335968,1.27966903983778,1.27029518255197,1.01237553895698,1.22776961170531,1.21554802518987,1.05041403574235,1.50375791218394,1.15543423638272,1.26011045548306
11323_20191101,0.941393769942523,1.05660683735932,1.07796261370933,1.26452134201924,1.01722437908166,1.30696843309214,1.20796082055974,1.02025696411006,1.00164320857069,1.27821437773083,1.17281438171174,1.10590353145043,1.21233814627753
11323_20211015,1.66155533088706,1.45196302462974,1.56503785021026,1.41548715211956,1.56915744162116,1.4664074481872,1.46945759804449,1.45918705689727,1.36918147795559,1.36795590818631,1.49086360055365,1.32966759798432,1.5131009819879
11390_20180628,1.30280020412582,1.03038876948874,1.21108828941419,1.34794693799297,1.24023466132407,1.42491541652864,1.27982931268608,1.24419030651234,1.35303741324272,1.06516880014526,1.22553518107903,1.3242235499189,1.21255721271941
11451_20180216,1.4498358789223,1.39744162932572,1.27696085550801,1.44058994621966,1.45624641947806,1.49934933123634,1.43309466706578,1.45653905687801,1.20663478172692,1.21363992956964,1.37319083251617,1.34441537040176,1.44607335340989
11515_20201109,1.47344843621046,1.57941603714238,1.55348023096685,1.4468155352699,1.46836865873581,1.61353682320639,1.47778763491755,1.47339715253711,1.30490258768155,1.38889378719985,1.61267662989155,1.57761941163064,1.58441828112864
